SMILES,T,P,Leak Size,Material Quantity,Number of carbon atoms,Number of hydrogen atoms,Number of oxygen  atoms,Number of nitrogen  atoms,Number of sulfur  atoms,Number of Halogen atoms,Molecular Weight,DM,¦ÅHOMO,¦ÅLUMO,¦Ì,¦Ç,¦Ø,lg(Explosion Diameter)
CC,50,1000,50,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.513920428
CC,50,1000,50,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.513903137
CC,100,1000,50,10,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.393297868
CC,100,1000,50,20,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.393433047
CC,100,1000,50,100,2,6,0,0,0,0,30.07,0,-0.3401,0.1048,-0.1176,0.4448,0.0156,2.393622578
CCC,0,100,10,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.938433658
CCC,0,100,10,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.938433658
CCC,0,100,10,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.938433658
CCC,0,500,10,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.109345646
CCC,0,500,10,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.109490802
CCC,0,500,10,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.109494177
CCC,20,500,10,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.034732707
CCC,20,500,10,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.035057326
CCC,20,500,10,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.034985209
CCC,50,500,10,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.941196281
CCC,50,500,10,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.941281305
CCC,50,500,10,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.941300197
CCC,100,500,10,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.540894816
CCC,100,500,10,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.540917314
CCC,100,500,10,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.540510914
CCC,0,1000,10,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.155475718
CCC,0,1000,10,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.155648738
CCC,0,1000,10,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.154764701
CCC,20,1000,10,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.099349097
CCC,20,1000,10,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.099345643
CCC,20,1000,10,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.099342188
CCC,50,1000,10,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.021118979
CCC,50,1000,10,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.021069335
CCC,50,1000,10,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.021143799
CCC,100,1000,10,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.847196807
CCC,100,1000,10,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.846860178
CCC,100,1000,10,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.846479997
CCC,0,100,25,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.431584073
CCC,0,100,25,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.430987212
CCC,0,100,25,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.431654805
CCC,20,100,25,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.634103273
CCC,20,100,25,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.633668387
CCC,20,100,25,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.63410529
CCC,50,100,25,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.604843565
CCC,50,100,25,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.604309231
CCC,50,100,25,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.604645021
CCC,100,100,25,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.56519116
CCC,100,100,25,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.565616448
CCC,100,100,25,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.56550426
CCC,0,500,25,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.573786836
CCC,0,500,25,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.57421537
CCC,0,500,25,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.574241994
CCC,20,500,25,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.497820835
CCC,20,500,25,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.497942281
CCC,20,500,25,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.49760546
CCC,50,500,25,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.406148287
CCC,50,500,25,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.406673003
CCC,50,500,25,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.406335758
CCC,100,500,25,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.961552549
CCC,100,500,25,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.960735174
CCC,100,500,25,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.960986107
CCC,0,1000,25,10,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.609090463
CCC,0,1000,25,20,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.609216505
CCC,0,1000,25,100,3,8,0,0,0,0,44.1,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.60896118
